data_type,N,D,p,data_seed,train_seed,n_components,n_prototypes_kept,n_items_kept,n_items_dropped,rsa_optB_spearman,rsa_optB_pearson,trustworthiness,continuity,cka,mqe,condition_id
words,500,768,40,0,0,1,40,500,0,0.39707779288548156,0.4635464352956822,0.8018512195121952,0.8003869918699187,0.46240293928484405,0.8377605863117445,words_N500_D768_p40
words,500,768,40,0,1,1,40,500,0,0.36832027969643505,0.4460550341229959,0.8020739837398374,0.8023146341463414,0.46236360360419065,0.8388691118702584,words_N500_D768_p40
words,500,768,40,0,2,1,40,500,0,0.42297820995284807,0.48117507274811466,0.7941016260162601,0.8081422764227643,0.46797780260599486,0.838161687314009,words_N500_D768_p40
words,500,768,40,0,3,1,40,500,0,0.4481635006554093,0.5091425389545836,0.8051162601626016,0.8139186991869919,0.48990362797825004,0.8378769666329793,words_N500_D768_p40
words,500,768,40,0,4,2,38,489,11,0.4139124829633302,0.4800325786395207,0.8007151086905688,0.7940699548061512,0.4768577052117216,0.8379418304632791,words_N500_D768_p40
words,500,768,40,0,5,1,40,500,0,0.41069916634349984,0.47579169649549913,0.8088723577235772,0.7883048780487805,0.4680103970587247,0.8391966340983061,words_N500_D768_p40
words,500,768,40,0,6,1,40,500,0,0.38943611638157954,0.46205283772286243,0.7997292682926829,0.8133276422764227,0.4687473507017533,0.8375483188415503,words_N500_D768_p40
words,500,768,40,0,7,1,40,500,0,0.4094039856205694,0.4921192485394538,0.7961430894308943,0.8005113821138211,0.4264318105922121,0.8391505163425086,words_N500_D768_p40
words,500,768,40,0,8,1,40,500,0,0.4233997651264136,0.4961163439622823,0.802169918699187,0.8050154471544715,0.48013863645711957,0.8367694623079017,words_N500_D768_p40
words,500,768,40,0,9,1,40,500,0,0.37774095509705125,0.45834525431468087,0.8065723577235773,0.8022934959349594,0.4551264252428537,0.8370048769766858,words_N500_D768_p40
words,1000,768,40,1,1000,1,40,1000,0,0.5044266311593577,0.5488681270215977,0.7706703629032258,0.7683399193548387,0.43032480662230244,0.8918732390792502,words_N1000_D768_p40
words,1000,768,40,1,1001,1,40,1000,0,0.45764254277239097,0.5064202439347387,0.7674040322580645,0.7785756048387097,0.44565267151510174,0.8928516710798665,words_N1000_D768_p40
words,1000,768,40,1,1002,1,40,1000,0,0.4707163839606941,0.5160230419695527,0.7651850806451613,0.7677590725806451,0.42521972339947406,0.8941150069572338,words_N1000_D768_p40
words,1000,768,40,1,1003,1,40,1000,0,0.49332611606622206,0.5351527148650204,0.76519375,0.775828629032258,0.40974668460039343,0.8935356459493737,words_N1000_D768_p40
words,1000,768,40,1,1004,1,40,1000,0,0.50555943644037,0.5457429087116711,0.7625104838709678,0.7818431451612904,0.44268653364387334,0.8931959030061323,words_N1000_D768_p40
words,1000,768,40,1,1005,1,40,1000,0,0.45061871871376785,0.4902174777302234,0.7647616935483871,0.7746516129032258,0.4199260053567285,0.8933533640691835,words_N1000_D768_p40
words,1000,768,40,1,1006,1,40,1000,0,0.43451163001074244,0.47625110579850244,0.7743510080645162,0.7781405241935484,0.3869224473995906,0.8925874211483853,words_N1000_D768_p40
words,1000,768,40,1,1007,1,40,1000,0,0.46997088104269585,0.5111239152098367,0.7709917338709678,0.7761602822580645,0.41930150902752916,0.8943681713922248,words_N1000_D768_p40
words,1000,768,40,1,1008,1,40,1000,0,0.45153909940301845,0.493099447031069,0.7680752016129032,0.7722635080645162,0.42677894620774876,0.8938565407280887,words_N1000_D768_p40
words,1000,768,40,1,1009,1,40,1000,0,0.44514602058498015,0.4898955986633415,0.7667131048387097,0.7734905241935484,0.388223797542701,0.8933685818608917,words_N1000_D768_p40
words,2000,768,40,2,2000,1,40,2000,0,0.4990835968028125,0.5344576738635045,0.7227468875502008,0.7296713855421686,0.38572766429424243,0.9332769632836753,words_N2000_D768_p40
words,2000,768,40,2,2001,1,40,2000,0,0.5131800435037293,0.5514741676160336,0.7294288152610442,0.7160237449799196,0.4120551058322881,0.9333431983283818,words_N2000_D768_p40
words,2000,768,40,2,2002,1,40,2000,0,0.5106036248341577,0.5460276134437495,0.7216738453815261,0.7305670682730924,0.40305118786342,0.9335593396233176,words_N2000_D768_p40
words,2000,768,40,2,2003,1,40,2000,0,0.5497852391289673,0.5824612585335361,0.7293650602409638,0.7097662148594377,0.4123484584131697,0.9328899736385281,words_N2000_D768_p40
words,2000,768,40,2,2004,1,40,2000,0,0.5438411271527457,0.5774946575698322,0.7259619979919678,0.712835843373494,0.38812145538287535,0.9333168718930865,words_N2000_D768_p40
words,2000,768,40,2,2005,1,40,2000,0,0.5182187080659048,0.5501643115086853,0.727258985943775,0.7066168172690763,0.3818415966886035,0.9330638364978528,words_N2000_D768_p40
words,2000,768,40,2,2006,1,40,2000,0,0.5115988529619123,0.5439851058503542,0.7255531626506024,0.7213411646586345,0.4029928785846917,0.9331309461228559,words_N2000_D768_p40
words,2000,768,40,2,2007,1,40,2000,0,0.5147705580329508,0.5495082104083119,0.7229794176706827,0.7058408132530121,0.4017161981452605,0.9335662325609415,words_N2000_D768_p40
words,2000,768,40,2,2008,1,40,2000,0,0.5099319140500118,0.5482182730215948,0.7256723393574297,0.738540813253012,0.4051350169122609,0.9327216509568285,words_N2000_D768_p40
words,2000,768,40,2,2009,1,40,2000,0,0.5429752512237469,0.5768839904155332,0.7236909638554216,0.719603313253012,0.39690266862829243,0.9339293923442796,words_N2000_D768_p40
words,5000,768,40,3,3000,1,40,5000,0,0.6482898882264412,0.6704591088149536,0.6849960977564102,0.6028794631410257,0.44555094296351144,0.9749231636115477,words_N5000_D768_p40
words,5000,768,40,3,3001,1,40,5000,0,0.641510372723324,0.6629259677681237,0.6870211778846154,0.6149284374999999,0.4569188121103265,0.9750713263086429,words_N5000_D768_p40
words,5000,768,40,3,3002,1,40,5000,0,0.6303428576922797,0.6521918923505998,0.6874595032051283,0.6061568669871795,0.4385930428851246,0.9745183204794595,words_N5000_D768_p40
words,5000,768,40,3,3003,1,40,5000,0,0.6229673229633852,0.6444134134234121,0.6907496875,0.6171797916666666,0.457416033172313,0.974264570043001,words_N5000_D768_p40
words,5000,768,40,3,3004,1,40,5000,0,0.6323478118764707,0.6535136276067873,0.6860792147435897,0.6106348317307693,0.4515970156151402,0.9746322987700754,words_N5000_D768_p40
words,5000,768,40,3,3005,1,40,5000,0,0.6437185084463982,0.6671689188513101,0.687961578525641,0.6063334455128204,0.452289121684916,0.9747284388516322,words_N5000_D768_p40
words,5000,768,40,3,3006,1,40,5000,0,0.6552758548210377,0.6767266246857171,0.6908517147435898,0.6008338541666667,0.44280440699924395,0.9742094616861959,words_N5000_D768_p40
words,5000,768,40,3,3007,1,40,5000,0,0.6349944999689616,0.6566270317143489,0.6873186778846154,0.608723092948718,0.45036982990423063,0.9743813241110998,words_N5000_D768_p40
words,5000,768,40,3,3008,1,40,5000,0,0.626494417512695,0.6502895482825439,0.6861639503205128,0.6173653365384615,0.45982550998797767,0.9747725629611108,words_N5000_D768_p40
words,5000,768,40,3,3009,1,40,5000,0,0.6372460146274136,0.6588578646268256,0.6860762419871795,0.6156152804487179,0.4424188822955333,0.974449193858527,words_N5000_D768_p40
