data_type,N,D,p,data_seed,train_seed,n_components,n_prototypes_kept,n_items_kept,n_items_dropped,rsa_optB_spearman,rsa_optB_pearson,trustworthiness,continuity,cka,mqe,condition_id
manifold,500,10,40,0,0,1,40,500,0,0.7237237544263867,0.7419351982590072,0.9481967479674797,0.9312349593495934,0.6018834445323601,1.1136776692233894,manifold_N500_D10_p40
manifold,500,10,40,0,1,1,40,500,0,0.7095407911814269,0.7308945085992251,0.9498130081300813,0.9300382113821138,0.6029336955427697,1.1103222080525397,manifold_N500_D10_p40
manifold,500,10,40,0,2,1,40,500,0,0.694339759167176,0.7151866280059558,0.9509617886178862,0.92629918699187,0.6141836766162618,1.1074598864732152,manifold_N500_D10_p40
manifold,500,10,40,0,3,1,40,500,0,0.7275824506974509,0.7446214737695942,0.9510739837398374,0.9326918699186992,0.6092336286849106,1.105595945329702,manifold_N500_D10_p40
manifold,500,10,40,0,4,1,40,500,0,0.7091241388706817,0.7286930216486153,0.9446422764227642,0.9240845528455285,0.593175798567526,1.122960181432414,manifold_N500_D10_p40
manifold,5000,10,40,1,1000,1,40,5000,0,0.7110436427706793,0.7322152086838856,0.9345757532051282,0.9522140224358975,0.5854463721788915,1.1862854065401465,manifold_N5000_D10_p40
manifold,5000,10,40,1,1001,1,40,5000,0,0.6959874770690151,0.7178310681960587,0.9314651282051282,0.9499576522435897,0.5892354017400797,1.1938369715723718,manifold_N5000_D10_p40
manifold,5000,10,40,1,1002,1,40,5000,0,0.7082555756640658,0.7294704615956101,0.9339042467948718,0.952216907051282,0.5863558782236964,1.1866610809279234,manifold_N5000_D10_p40
manifold,5000,10,40,1,1003,1,40,5000,0,0.6984851130568641,0.7188095637774919,0.9360684695512821,0.9517634775641025,0.6011556128787457,1.1855631004534537,manifold_N5000_D10_p40
manifold,5000,10,40,1,1004,1,40,5000,0,0.7039738352033503,0.7240373514522735,0.9344495592948718,0.949273108974359,0.5841545988822241,1.1870032081542283,manifold_N5000_D10_p40
