data_type,N,D,p,data_seed,train_seed,n_components,n_prototypes_kept,n_items_kept,n_items_dropped,rsa_optB_spearman,rsa_optB_pearson,trustworthiness,continuity,cka,mqe,condition_id
mnist,500,784,40,0,0,1,40,500,0,0.6887251279447812,0.7309689809391073,0.9335382113821138,0.9352739837398374,0.15110015582719413,1367.9435286753503,mnist_N500_D784_p40
mnist,500,784,40,0,1,1,40,500,0,0.6785914864226106,0.7126335768173658,0.9383934959349594,0.9321869918699187,0.1444002086636205,1357.3462078476969,mnist_N500_D784_p40
mnist,500,784,40,0,2,1,40,500,0,0.6949749010356076,0.7147107876482462,0.9265528455284553,0.9338113821138212,0.14857108449697567,1363.9671464812989,mnist_N500_D784_p40
mnist,500,784,40,0,3,1,40,500,0,0.6871077568671531,0.7228161054140417,0.9360373983739837,0.9347048780487804,0.15376247863468595,1360.30476947831,mnist_N500_D784_p40
mnist,500,784,40,0,4,1,40,500,0,0.6675594266099196,0.7007835349817366,0.9367065040650406,0.926829268292683,0.1336564022470004,1364.1690500956481,mnist_N500_D784_p40
mnist,500,784,40,0,5,1,40,500,0,0.6307233781414481,0.6711984949426308,0.933380487804878,0.9347390243902439,0.14454765106816586,1360.9672472649495,mnist_N500_D784_p40
mnist,500,784,40,0,6,1,40,500,0,0.6850631153553467,0.6954917090525237,0.938319512195122,0.9305252032520325,0.1396012598255631,1364.69746088756,mnist_N500_D784_p40
mnist,500,784,40,0,7,1,40,500,0,0.6778030306041184,0.7210216274135601,0.9370821138211383,0.9330341463414634,0.15308097451005082,1361.290862524571,mnist_N500_D784_p40
mnist,500,784,40,0,8,1,40,500,0,0.6456822845337421,0.7015472341335461,0.9339999999999999,0.9343186991869918,0.14898630444593378,1361.4215446116998,mnist_N500_D784_p40
mnist,500,784,40,0,9,1,40,500,0,0.6823581289256495,0.7184410209944497,0.9312650406504065,0.9308626016260163,0.14796797306338974,1366.1944860365777,mnist_N500_D784_p40
mnist,1000,784,40,1,1000,1,40,1000,0,0.6800084755227684,0.7143627949072126,0.9177167338709677,0.9290006048387097,0.14548854421033644,1408.21744322574,mnist_N1000_D784_p40
mnist,1000,784,40,1,1001,1,40,1000,0,0.666112377599849,0.7095787304391812,0.9216576612903226,0.9371054435483871,0.1445820599286443,1408.3270197295587,mnist_N1000_D784_p40
mnist,1000,784,40,1,1002,1,40,1000,0,0.6787995747329111,0.7176324557206467,0.9199352822580645,0.9349441532258065,0.14429296108123849,1414.4673624659342,mnist_N1000_D784_p40
mnist,1000,784,40,1,1003,1,40,1000,0,0.6982183860859403,0.7338248360207793,0.916523185483871,0.9362683467741936,0.14056002562292524,1407.5361269437726,mnist_N1000_D784_p40
mnist,1000,784,40,1,1004,1,40,1000,0,0.6819425505953395,0.7197890606373228,0.9269836693548387,0.9365104838709677,0.1427885297802644,1403.272685388519,mnist_N1000_D784_p40
mnist,1000,784,40,1,1005,1,40,1000,0,0.6643995566243758,0.7037210019528709,0.9187602822580645,0.9295407258064516,0.14261524407341297,1410.115212072905,mnist_N1000_D784_p40
mnist,1000,784,40,1,1006,1,40,1000,0,0.6680467246560495,0.7076699408957666,0.9185219758064516,0.9336066532258065,0.13930760532237807,1409.3863951446147,mnist_N1000_D784_p40
mnist,1000,784,40,1,1007,1,40,1000,0,0.6775408053084649,0.7177145433368451,0.9219963709677419,0.936723185483871,0.14578994621981353,1406.7816487846467,mnist_N1000_D784_p40
mnist,1000,784,40,1,1008,1,40,1000,0,0.6677371289387678,0.7106294261207504,0.9245909274193549,0.9342725806451613,0.15027677039463685,1403.8137807103744,mnist_N1000_D784_p40
mnist,1000,784,40,1,1009,1,40,1000,0,0.6689841186218364,0.7065993043340385,0.9197193548387097,0.9334590725806452,0.14077278462708961,1409.9833119102486,mnist_N1000_D784_p40
mnist,2000,784,40,2,2000,1,40,2000,0,0.698539086298446,0.7358136007759705,0.9146696285140562,0.937903062248996,0.294352429712105,1415.5188665820272,mnist_N2000_D784_p40
mnist,2000,784,40,2,2001,1,40,2000,0,0.7177009631516138,0.7500442893706603,0.9158927710843373,0.9363364457831326,0.2942498134094288,1412.044548144552,mnist_N2000_D784_p40
mnist,2000,784,40,2,2002,1,40,2000,0,0.6928730492740554,0.7303984667579998,0.9167580823293173,0.9398779116465863,0.28744331228329517,1412.7424211471541,mnist_N2000_D784_p40
