data_type,N,D,p,data_seed,train_seed,n_components,n_prototypes_kept,n_items_kept,n_items_dropped,rsa_optB_spearman,rsa_optB_pearson,trustworthiness,continuity,cka,mqe,condition_id
manifold,1000,10,6,0,0,1,6,1000,0,0.737609712136393,0.7561018108384642,0.8052649272453587,0.9094540893125941,0.6685046148170152,4.6231883360209105,manifold_N1000_D10_p6
manifold,1000,10,6,0,1,1,6,1000,0,0.7573212244824359,0.7752321985778307,0.8156091319618666,0.9180933266432514,0.6241150297057849,4.632162811058792,manifold_N1000_D10_p6
manifold,1000,10,6,0,2,1,6,1000,0,0.7486738155452617,0.7691318085267049,0.8050847967887607,0.9097014550928249,0.6318712325796959,4.636103328594789,manifold_N1000_D10_p6
manifold,1000,10,6,0,3,1,6,1000,0,0.7336078781359067,0.7562163992112577,0.8167737079779227,0.9111279478173607,0.6252843565076908,4.639894252421522,manifold_N1000_D10_p6
manifold,1000,10,6,0,4,1,6,1000,0,0.7237920315703681,0.7463933048574187,0.799487205218264,0.9118469643753135,0.6615875565759372,4.6165139297936335,manifold_N1000_D10_p6
manifold,1000,10,6,0,5,1,6,1000,0,0.7226836417283092,0.7438846475765525,0.8029061716006021,0.9131495233316608,0.6563365578907241,4.653123511158188,manifold_N1000_D10_p6
manifold,1000,10,6,0,6,1,6,1000,0,0.7054779926361967,0.7227764678512447,0.8091470145509283,0.9070025087807325,0.6415564847711569,4.637120786139758,manifold_N1000_D10_p6
manifold,1000,10,6,0,7,1,6,1000,0,0.7287422869064812,0.751231440980554,0.8084074259909684,0.9168765679879578,0.6543906645270071,4.622032653374764,manifold_N1000_D10_p6
manifold,1000,10,6,0,8,1,6,1000,0,0.7311314821688555,0.7535769870623842,0.8103547415955845,0.9126151530356247,0.6335046138956449,4.645629647761907,manifold_N1000_D10_p6
manifold,1000,10,6,0,9,1,6,1000,0,0.7381174077200039,0.7583466531241285,0.8056051179126944,0.9097185148018063,0.6411577610218901,4.647746867700261,manifold_N1000_D10_p6
manifold,1000,100,6,1,1000,1,6,1000,0,0.659069513518728,0.6776646050062496,0.7632634219769192,0.8816588058203713,0.39337145647286803,16.356034219068526,manifold_N1000_D100_p6
manifold,1000,100,6,1,1001,1,6,1000,0,0.668549410468923,0.6883006412266384,0.7673216256899147,0.8876603110888108,0.4022812988767731,16.39492967640124,manifold_N1000_D100_p6
manifold,1000,100,6,1,1002,1,6,1000,0,0.6511828781836903,0.6745050710834393,0.7670140491721024,0.8837185148018063,0.4166718153689095,16.496910507864484,manifold_N1000_D100_p6
manifold,1000,100,6,1,1003,1,6,1000,0,0.6372158685205728,0.6582129692821327,0.7600030105368791,0.8735885599598595,0.36147724267734005,16.492500160094952,manifold_N1000_D100_p6
manifold,1000,100,6,1,1004,1,6,1000,0,0.6515023147099593,0.6677578849829721,0.770646763672855,0.8761921726041144,0.37922356074037256,16.437999725342856,manifold_N1000_D100_p6
manifold,1000,100,6,1,1005,1,6,1000,0,0.6653656374991886,0.6858244822800531,0.765844455594581,0.8880607124937281,0.38968039968549995,16.44898643103565,manifold_N1000_D100_p6
manifold,1000,100,6,1,1006,1,6,1000,0,0.6336585263130287,0.6568604652942803,0.7771796287004515,0.8805619668840944,0.3978703294307003,16.405945346613052,manifold_N1000_D100_p6
manifold,1000,100,6,1,1007,1,6,1000,0,0.6597327313142891,0.6747152589064237,0.7743391871550427,0.8762177621675865,0.37372787226980064,16.39143362815357,manifold_N1000_D100_p6
manifold,1000,100,6,1,1008,1,6,1000,0,0.6388783905788121,0.6612935950471625,0.7627937782237832,0.8728384345208229,0.39279631245131374,16.427373313655153,manifold_N1000_D100_p6
manifold,1000,100,6,1,1009,1,6,1000,0,0.6383598019382871,0.6624075805630754,0.7776693426994481,0.8765012543903663,0.40609190389756633,16.405337316402722,manifold_N1000_D100_p6
manifold,1000,784,6,2,2000,1,6,1000,0,0.6642779657403073,0.6773015826919303,0.7630035122930257,0.8910852985449071,0.29992278047954457,46.484525938280306,manifold_N1000_D784_p6
manifold,1000,784,6,2,2001,1,6,1000,0,0.6474812201744464,0.6626997722719503,0.7735368790767687,0.8885544405418966,0.33335781950634924,46.31042394246432,manifold_N1000_D784_p6
manifold,1000,784,6,2,2002,1,6,1000,0,0.6277215532881284,0.641334313449347,0.7611951831409935,0.8828569994982438,0.30207686793973243,46.266690660354556,manifold_N1000_D784_p6
manifold,1000,784,6,2,2003,1,6,1000,0,0.6320524298365562,0.6519400310264732,0.7627581535373809,0.8842709483191169,0.3280386180555754,46.508659412372424,manifold_N1000_D784_p6
manifold,1000,784,6,2,2004,1,6,1000,0,0.5987697547763093,0.6192147863332856,0.7616121424987456,0.8732950326141495,0.29140677536344584,46.24856765386193,manifold_N1000_D784_p6
manifold,1000,784,6,2,2005,1,6,1000,0,0.6391504616549822,0.6536237450638794,0.7723311590566985,0.8850316106372303,0.2806307555983343,45.96965130108398,manifold_N1000_D784_p6
manifold,1000,784,6,2,2006,1,6,1000,0,0.6377319398169029,0.6592031279602609,0.7664581033617662,0.8864731560461616,0.3909262466889859,46.55953606240808,manifold_N1000_D784_p6
manifold,1000,784,6,2,2007,1,6,1000,0,0.6403051198611217,0.6562229317711024,0.767940291018565,0.8847671851480181,0.3417060470151572,46.45572779698866,manifold_N1000_D784_p6
manifold,1000,784,6,2,2008,1,6,1000,0,0.6379901324042531,0.6568618428242938,0.752079277471149,0.8900306071249373,0.3647285217897804,46.62836378802656,manifold_N1000_D784_p6
manifold,1000,784,6,2,2009,1,6,1000,0,0.6252834053612452,0.6446962648113155,0.7717280481685901,0.8788309081786252,0.3447357670099177,46.30405310849926,manifold_N1000_D784_p6
manifold,1000,10,8,3,3000,1,8,1000,0,0.7122171935589768,0.74545381814979,0.8445815353738083,0.9074440541896638,0.6756502629360303,3.4901404893086174,manifold_N1000_D10_p8
manifold,1000,10,8,3,3001,1,8,1000,0,0.7667332429464429,0.7877226032130811,0.8395037631710989,0.9148163572503764,0.6555307031254447,3.468855432848887,manifold_N1000_D10_p8
manifold,1000,10,8,3,3002,1,8,1000,0,0.7496154725949501,0.7783863200151617,0.8484952333166081,0.9146803813346713,0.6693893585804291,3.495148845442088,manifold_N1000_D10_p8
manifold,1000,10,8,3,3003,1,8,1000,0,0.7750184285431727,0.7971627714630808,0.8469543401906674,0.9101515303562469,0.655312713746738,3.538763553146944,manifold_N1000_D10_p8
