data_type,N,D,p,data_seed,train_seed,n_components,n_prototypes_kept,n_items_kept,n_items_dropped,rsa_optB_spearman,rsa_optB_pearson,trustworthiness,continuity,cka,mqe,condition_id
manifold,500,10,40,0,0,1,40,500,0,0.8144254169887052,0.8282748352656257,0.9491113821138212,0.9406130081300813,0.7221405654457064,3.0936846540344614,manifold_N500_D10_p40
manifold,500,10,40,0,1,1,40,500,0,0.7994921763242319,0.8162820746246385,0.9527691056910569,0.9423691056910569,0.7174083208079717,3.0955444374050027,manifold_N500_D10_p40
manifold,500,10,40,0,2,1,40,500,0,0.7794463191288781,0.7970089492710541,0.9539032520325204,0.9424146341463414,0.7344045773914787,3.089243488276524,manifold_N500_D10_p40
manifold,500,10,40,0,3,1,40,500,0,0.8053044578483414,0.8184081139779141,0.9499065040650406,0.9411268292682927,0.7031955942889947,3.1159217539834465,manifold_N500_D10_p40
manifold,500,10,40,0,4,1,40,500,0,0.8075635074362948,0.8220361271637693,0.9478691056910569,0.944390243902439,0.7226006409519312,3.084730439953127,manifold_N500_D10_p40
manifold,500,10,40,0,5,1,40,500,0,0.7861935194834409,0.8005130163679022,0.9459585365853659,0.943150406504065,0.7499004508967287,3.1167531486999733,manifold_N500_D10_p40
manifold,500,10,40,0,6,1,40,500,0,0.7985385520504692,0.8153138906207904,0.9533195121951219,0.9405634146341464,0.7211028895896072,3.07721585425803,manifold_N500_D10_p40
manifold,500,10,40,0,7,1,40,500,0,0.8007724769848512,0.8173806361077501,0.9523040650406505,0.9450601626016261,0.7250436883498456,3.0564307798078643,manifold_N500_D10_p40
manifold,500,10,40,0,8,1,40,500,0,0.7979929910372098,0.8135548679453872,0.9509032520325204,0.9419609756097561,0.7283655195313539,3.0781493159898465,manifold_N500_D10_p40
manifold,500,10,40,0,9,1,40,500,0,0.8007074814407653,0.8137109083728843,0.9537065040650406,0.9407487804878049,0.7112620825664896,3.08624488116714,manifold_N500_D10_p40
manifold,500,100,40,1,1000,1,40,500,0,0.7507275174638005,0.7704837094462331,0.9531268292682927,0.9304536585365853,0.643584495470941,10.580552393687864,manifold_N500_D100_p40
manifold,500,100,40,1,1001,1,40,500,0,0.7406503318648071,0.7632370295842748,0.9517723577235773,0.9311430894308943,0.6416540730016126,10.500919470882657,manifold_N500_D100_p40
manifold,500,100,40,1,1002,1,40,500,0,0.7270548983761738,0.7475282698315756,0.9506845528455284,0.9255959349593496,0.6117114752358179,10.524998674357612,manifold_N500_D100_p40
manifold,500,100,40,1,1003,1,40,500,0,0.7266900970025316,0.7494223464563657,0.9507926829268293,0.9286219512195122,0.6308993338527564,10.492859802463634,manifold_N500_D100_p40
manifold,500,100,40,1,1004,1,40,500,0,0.7317745277556029,0.7515903688832849,0.9473609756097561,0.9264138211382114,0.6381237570634416,10.541687979184656,manifold_N500_D100_p40
manifold,500,100,40,1,1005,1,40,500,0,0.7356693820794924,0.7569913082936541,0.9507471544715447,0.9360113821138212,0.6373764708394377,10.417084098069214,manifold_N500_D100_p40
manifold,500,100,40,1,1006,1,40,500,0,0.7389222619308602,0.7601159252493438,0.9473658536585365,0.930279674796748,0.6537137349971003,10.59158784699205,manifold_N500_D100_p40
